Balls,Runs,5wl
180,123,0
295,221,0
258,266,0
401,306,0
465,278,0
150,114,0
78,61,0
120,108,0
70,70,
250,189,0
102,83,0
282,251,0
228,156,0
186,148,0
121,101,0
162,165,0
84,70,
132,115,0
150,85,0
105,103,0
336,261,0
108,92,0
18,11,
6,10,
101,61,1
30,27,
204,169,0
158,112,0
144,77,0
414,316,0
90,60,0
153,78,0
126,95,0
240,166,0
282,230,0
381,316,0
103,57,0
78,87,0
102,74,1
72,40,0
267,216,0
156,101,0
462,348,0
300,274,0
,0,
71,60,0
120,65,0
252,222,0
176,130,0
